method,iter,quality_score,diagnostic_score,cust_column_shapes,cust_pair_trends,txn_column_shapes,cross_table_mad,ia_ks_pvalue,autocorr_mae,new_row_synthesis,dcr_protection
M2 CTGAN,158,0.8591,0.9962,0.8322,0.5415,0.9091,0.3935,0.0264,0.0084,,
M3 PAR,158,0.5716,0.7391,0.7762,0.5408,0.7815,0.2864,0.0,0.0368,,
M4 TVAE,158,0.884,0.9985,0.7831,0.7661,0.8264,0.3849,0.0,0.0223,,
M5 MST-DP,158,0.9339,0.9996,0.9206,0.8213,0.8457,0.387,0.0,0.562,,
M1 HMA-GC,159,0.8883,0.9999,0.9374,0.7576,0.8614,0.3667,0.0,0.0888,,
M2 CTGAN,159,0.8445,0.9996,0.834,0.5733,0.9045,0.386,0.0024,0.0071,,
M3 PAR,159,0.6395,0.7458,0.785,0.5515,0.7844,0.2988,0.0,0.0421,,
M4 TVAE,159,0.882,1.0,0.7946,0.7809,0.8172,0.4042,0.0,0.0371,,
M5 MST-DP,159,0.8499,0.9996,0.9214,0.8223,0.8445,0.3872,0.0,0.5542,,
M1 HMA-GC,160,0.8815,1.0,0.9416,0.7388,0.8626,0.3836,0.0,0.0784,,
M2 CTGAN,160,0.8484,0.9998,0.8346,0.5595,0.9072,0.3976,0.1142,0.0207,,
M3 PAR,160,0.6515,0.7435,0.7867,0.5376,0.7822,0.3045,0.0,0.0456,,
M4 TVAE,160,0.8759,1.0,0.7955,0.7715,0.8205,0.3901,0.0,0.0235,,
M5 MST-DP,160,0.854,0.9996,0.9272,0.8215,0.8445,0.3915,0.0,0.5596,,
M1 HMA-GC,161,0.8652,1.0,0.9372,0.7115,0.8652,0.38,0.0,0.0917,,
M2 CTGAN,161,0.8581,1.0,0.8338,0.5642,0.9079,0.4095,0.0001,0.0192,,
M3 PAR,161,0.5744,0.7423,0.7766,0.5362,0.7866,0.2952,0.0,0.0394,,
M4 TVAE,161,0.886,1.0,0.7827,0.7821,0.8285,0.4005,0.0,0.0279,,
M5 MST-DP,161,0.9365,0.9997,0.925,0.8353,0.8472,0.4047,0.0,0.5754,,
M1 HMA-GC,162,0.8855,0.9954,0.9397,0.7355,0.8657,0.3644,0.0,0.0818,,
M2 CTGAN,162,0.858,0.9989,0.8373,0.5835,0.9092,0.3914,0.0436,0.0138,,
M3 PAR,162,0.6333,0.7457,0.7828,0.5487,0.7876,0.3028,0.0,0.0278,,
M4 TVAE,162,0.8747,0.9989,0.7875,0.7766,0.8262,0.3962,0.0,0.0247,,
M5 MST-DP,162,0.8554,0.9996,0.9255,0.8355,0.8467,0.3912,0.0,0.6003,,
M1 HMA-GC,163,0.8824,1.0,0.9347,0.7256,0.8609,0.3846,0.0,0.069,,
M2 CTGAN,163,0.8321,1.0,0.8331,0.5465,0.9047,0.3905,0.0048,0.0035,,
M3 PAR,163,0.6311,0.7429,0.7796,0.5432,0.783,0.304,0.0,0.0334,,
M4 TVAE,163,0.8704,1.0,0.7933,0.7667,0.8266,0.4066,0.0,0.0362,,
M5 MST-DP,163,0.854,0.9997,0.9238,0.8414,0.8487,0.3931,0.0,0.5759,,
M1 HMA-GC,164,0.8702,0.9955,0.9361,0.7394,0.8653,0.3827,0.0,0.0794,,
M2 CTGAN,164,0.8493,0.999,0.8388,0.5741,0.9101,0.409,0.0064,0.0004,,
M3 PAR,164,0.5725,0.7452,0.7832,0.5387,0.7839,0.2994,0.0,0.0397,,
M4 TVAE,164,0.8845,0.999,0.7928,0.7809,0.8277,0.4069,0.0,0.0248,,
M5 MST-DP,164,0.9181,0.9996,0.9241,0.8112,0.8481,0.3902,0.0,0.5563,,
M1 HMA-GC,165,0.8794,1.0,0.9377,0.7371,0.8619,0.3895,0.0,0.064,,
M2 CTGAN,165,0.8378,0.9997,0.8382,0.5527,0.9079,0.4068,0.0205,0.0093,,
M3 PAR,165,0.6468,0.7422,0.7822,0.5359,0.7797,0.3345,0.0,0.0338,,
M4 TVAE,165,0.8755,1.0,0.7883,0.7702,0.828,0.3977,0.0,0.025,,
M5 MST-DP,165,0.8516,0.9996,0.9213,0.8357,0.8484,0.3902,0.0,0.5487,,
M1 HMA-GC,166,0.8772,1.0,0.9394,0.7249,0.8629,0.3752,0.0,0.0683,,
M2 CTGAN,166,0.8274,0.9993,0.8312,0.5432,0.9061,0.3871,0.0079,0.0101,,
M3 PAR,166,0.6319,0.7371,0.7855,0.5374,0.7814,0.2985,0.0,0.0428,,
M4 TVAE,166,0.8726,0.9995,0.7919,0.7759,0.826,0.3833,0.0,0.0276,,
M5 MST-DP,166,0.8515,0.9994,0.9256,0.8125,0.8504,0.3905,0.0,0.5621,,
M1 HMA-GC,167,0.8725,1.0,0.9304,0.7196,0.8615,0.3809,0.0,0.0782,,
M2 CTGAN,167,0.8368,0.9999,0.8357,0.5502,0.9068,0.3984,0.0015,0.0022,,
M3 PAR,167,0.6343,0.7411,0.7807,0.5266,0.7813,0.3104,0.0,0.0367,,
M4 TVAE,167,0.8645,1.0,0.7888,0.768,0.8231,0.4023,0.0,0.0206,,
M5 MST-DP,167,0.848,0.9996,0.9186,0.8224,0.8412,0.3801,0.0,0.5512,,
M1 HMA-GC,168,0.8701,1.0,0.9384,0.7334,0.8651,0.3832,0.0,0.0685,,
M2 CTGAN,168,0.8561,0.9998,0.8353,0.5557,0.9049,0.4027,0.003,0.0029,,
M3 PAR,168,0.5746,0.7401,0.7725,0.5356,0.7847,0.311,0.0,0.056,,
M4 TVAE,168,0.8833,1.0,0.7959,0.7834,0.8228,0.3921,0.0,0.0229,,
M5 MST-DP,168,0.9273,0.9996,0.9271,0.8352,0.8394,0.3818,0.0,0.5895,,
M1 HMA-GC,169,0.8846,0.9999,0.9425,0.7296,0.862,0.3759,0.0,0.0693,,
M2 CTGAN,169,0.8541,0.9986,0.8295,0.5745,0.909,0.377,0.016,0.0103,,
M3 PAR,169,0.6476,0.7322,0.785,0.5406,0.783,0.3054,0.0,0.057,,
M4 TVAE,169,0.8759,0.9995,0.7864,0.7788,0.8241,0.4115,0.0,0.0421,,
M5 MST-DP,169,0.8506,0.9986,0.9303,0.8411,0.8484,0.3918,0.0,0.5872,,
M1 HMA-GC,170,0.8796,0.9999,0.9284,0.7314,0.8672,0.3836,0.0,0.0847,,
M2 CTGAN,170,0.8344,0.9997,0.8315,0.5628,0.9085,0.3886,0.0079,0.0162,,
M3 PAR,170,0.6388,0.7398,0.7792,0.5565,0.7838,0.3,0.0,0.0547,,
M4 TVAE,170,0.8767,1.0,0.7854,0.7766,0.8236,0.3858,0.0,0.0207,,
M5 MST-DP,170,0.8445,0.9995,0.9195,0.8143,0.8484,0.3873,0.0,0.5577,,
M1 HMA-GC,171,0.8815,1.0,0.9356,0.7238,0.864,0.3878,0.0,0.0738,,
M2 CTGAN,171,0.8465,0.9998,0.84,0.5664,0.9085,0.3864,0.002,0.0175,,
M3 PAR,171,0.6492,0.7434,0.787,0.5525,0.7835,0.3057,0.0,0.0671,,
M4 TVAE,171,0.8818,1.0,0.7901,0.781,0.8274,0.3981,0.0,0.03,,
M5 MST-DP,171,0.8567,0.9996,0.9237,0.8118,0.8503,0.3795,0.0,0.5673,,
M1 HMA-GC,172,0.8741,0.9999,0.9335,0.7474,0.8644,0.3803,0.0,0.0955,,
M2 CTGAN,172,0.8579,0.9996,0.832,0.5716,0.9084,0.3927,0.0925,0.0303,,
M3 PAR,172,0.5861,0.7454,0.7787,0.5605,0.7856,0.2987,0.0,0.0481,,
M4 TVAE,172,0.8868,1.0,0.7869,0.7712,0.8248,0.3801,0.0,0.0388,,
M5 MST-DP,172,0.9302,0.9995,0.926,0.8226,0.8467,0.3716,0.0,0.5542,,
M1 HMA-GC,173,0.8826,1.0,0.9353,0.7434,0.8662,0.3789,0.0,0.0959,,
M2 CTGAN,173,0.8233,0.9994,0.8378,0.578,0.9058,0.3917,0.0004,0.0009,,
M3 PAR,173,0.6385,0.7428,0.7928,0.5452,0.7847,0.3102,0.0,0.0534,,
M4 TVAE,173,0.8626,0.9999,0.7897,0.7792,0.8221,0.3838,0.0,0.0328,,
M5 MST-DP,173,0.8485,0.9996,0.9265,0.8348,0.8478,0.3814,0.0,0.5684,,
M1 HMA-GC,174,0.8819,0.9999,0.9356,0.7314,0.864,0.3892,0.0,0.0853,,
M2 CTGAN,174,0.8468,0.9995,0.8356,0.5535,0.9065,0.4128,0.0044,0.021,,
M3 PAR,174,0.6391,0.7462,0.7723,0.5339,0.7825,0.3031,0.0,0.062,,
M4 TVAE,174,0.8819,0.9999,0.79,0.7725,0.83,0.4034,0.0,0.0545,,
M5 MST-DP,174,0.8554,0.9997,0.9236,0.8465,0.8463,0.3787,0.0,0.5741,,
M1 HMA-GC,175,0.8762,1.0,0.9391,0.7339,0.8659,0.3913,0.0,0.1013,,
M2 CTGAN,175,0.8583,0.9998,0.8375,0.5727,0.908,0.4041,0.0192,0.0241,,
M3 PAR,175,0.5866,0.7433,0.7851,0.5381,0.785,0.2915,0.0,0.0592,,
M4 TVAE,175,0.8874,1.0,0.7926,0.7929,0.8244,0.4123,0.0,0.0405,,
M5 MST-DP,175,0.9326,0.9996,0.9265,0.821,0.8486,0.3947,0.0,0.5865,,
M1 HMA-GC,176,0.8818,0.9999,0.9369,0.7312,0.8665,0.3987,0.0,0.07,,
M2 CTGAN,176,0.8481,0.9998,0.8462,0.5626,0.9082,0.3966,0.0011,0.0117,,
M3 PAR,176,0.6421,0.7463,0.7884,0.5556,0.7819,0.297,0.0,0.0329,,
M4 TVAE,176,0.8809,1.0,0.7916,0.7881,0.8257,0.377,0.0,0.0163,,
M5 MST-DP,176,0.8564,0.9996,0.9192,0.8246,0.8448,0.388,0.0,0.5859,,
M1 HMA-GC,177,0.8688,1.0,0.9378,0.7313,0.8615,0.3924,0.0,0.0752,,
M2 CTGAN,177,0.8613,0.9997,0.8381,0.5736,0.9038,0.4021,0.009,0.0188,,
M3 PAR,177,0.5878,0.7422,0.7845,0.5457,0.7829,0.2921,0.0,0.0487,,
M4 TVAE,177,0.883,1.0,0.783,0.7665,0.8288,0.38,0.0,0.0267,,
M5 MST-DP,177,0.9276,0.9997,0.9247,0.8308,0.8468,0.3767,0.0,0.5804,,
M1 HMA-GC,178,0.8807,0.9955,0.9307,0.7389,0.8646,0.3809,0.0,0.0674,,
M2 CTGAN,178,0.8277,0.9981,0.834,0.558,0.9037,0.3867,0.0,0.0117,,
M3 PAR,178,0.6257,0.7386,0.7747,0.5433,0.7875,0.2945,0.0,0.0219,,
M4 TVAE,178,0.874,0.9989,0.7942,0.7823,0.8239,0.385,0.0,0.0238,,
M5 MST-DP,178,0.8393,0.9995,0.9197,0.8211,0.8493,0.3949,0.0,0.5503,,
M1 HMA-GC,179,0.8726,1.0,0.9372,0.7486,0.8652,0.3963,0.0,0.0647,,
M2 CTGAN,179,0.8469,0.9998,0.8349,0.5627,0.9086,0.3922,0.0304,0.0105,,
M3 PAR,179,0.5679,0.7423,0.7826,0.5392,0.7836,0.3113,0.0,0.0562,,
M4 TVAE,179,0.8799,1.0,0.7896,0.7761,0.8223,0.397,0.0,0.0346,,
M5 MST-DP,179,0.9258,0.9995,0.9261,0.8159,0.8439,0.3907,0.0,0.5848,,
M1 HMA-GC,180,0.877,1.0,0.9388,0.7296,0.8672,0.3843,0.0,0.0737,,
M2 CTGAN,180,0.8413,1.0,0.8389,0.5706,0.9057,0.3956,0.0291,0.0226,,
M3 PAR,180,0.6119,0.7406,0.7809,0.5472,0.7852,0.286,0.0,0.0489,,
M4 TVAE,180,0.8777,1.0,0.7946,0.7806,0.8214,0.3757,0.0,0.0444,,
M5 MST-DP,180,0.8506,0.9996,0.921,0.8519,0.843,0.373,0.0,0.5798,,
M1 HMA-GC,181,0.8721,1.0,0.937,0.7443,0.8633,0.3914,0.0,0.0681,,
M2 CTGAN,181,0.8429,1.0,0.8347,0.5688,0.9078,0.3962,0.0007,0.006,,
M3 PAR,181,0.6392,0.7454,0.782,0.5457,0.7811,0.2882,0.0,0.0518,,
M4 TVAE,181,0.8776,1.0,0.7902,0.7755,0.8276,0.3824,0.0,0.035,,
M5 MST-DP,181,0.8457,0.9998,0.9255,0.8272,0.8478,0.3786,0.0,0.5763,,
M1 HMA-GC,182,0.8876,0.9999,0.9403,0.7375,0.8654,0.38,0.0,0.0795,,
M2 CTGAN,182,0.8521,0.9994,0.8417,0.5584,0.9075,0.4002,0.0392,0.0041,,
M3 PAR,182,0.6398,0.7417,0.7865,0.5477,0.7792,0.3233,0.0,0.0307,,
M4 TVAE,182,0.8814,0.9998,0.8038,0.7719,0.8247,0.3915,0.0,0.0246,,
M5 MST-DP,182,0.8509,0.9996,0.9224,0.8393,0.8447,0.3774,0.0,0.5602,,
M1 HMA-GC,183,0.8757,1.0,0.9394,0.7339,0.8615,0.4039,0.0,0.0793,,
M2 CTGAN,183,0.8562,0.9997,0.8369,0.5577,0.9059,0.3902,0.0007,0.0008,,
M3 PAR,183,0.5876,0.7448,0.7792,0.5525,0.7845,0.309,0.0,0.0124,,
M4 TVAE,183,0.886,1.0,0.791,0.7843,0.8267,0.4093,0.0,0.0227,,
M5 MST-DP,183,0.9331,0.9996,0.9231,0.843,0.8469,0.3995,0.0,0.5771,,
M1 HMA-GC,184,0.8663,0.9983,0.941,0.7293,0.8612,0.3672,0.0,0.0693,,
M2 CTGAN,184,0.8588,0.9988,0.8408,0.5662,0.9072,0.3771,0.0177,0.0055,,
M3 PAR,184,0.583,0.7409,0.7898,0.5447,0.7861,0.3037,0.0,0.029,,
M4 TVAE,184,0.8914,0.9992,0.7932,0.7763,0.8278,0.3797,0.0,0.0327,,
M5 MST-DP,184,0.9242,0.9996,0.9249,0.8268,0.8468,0.3798,0.0,0.546,,
M1 HMA-GC,185,0.8861,0.9999,0.9358,0.7384,0.8634,0.3935,0.0,0.0837,,
M2 CTGAN,185,0.8416,0.9998,0.8443,0.5601,0.9042,0.4026,0.021,0.016,,
M3 PAR,185,0.6373,0.7469,0.7774,0.5291,0.7794,0.3085,0.0,0.0441,,
M4 TVAE,185,0.8737,1.0,0.7924,0.7752,0.8281,0.4013,0.0,0.0275,,
M5 MST-DP,185,0.8552,0.9996,0.9267,0.8237,0.8505,0.3919,0.0,0.5645,,
M1 HMA-GC,186,0.8829,1.0,0.935,0.7309,0.8634,0.3939,0.0,0.0743,,
M2 CTGAN,186,0.8475,0.9997,0.8346,0.566,0.9088,0.4023,0.0007,0.0107,,
M3 PAR,186,0.6453,0.742,0.7842,0.5496,0.7822,0.3018,0.0,0.0328,,
M4 TVAE,186,0.8796,1.0,0.789,0.779,0.8289,0.4105,0.0,0.0363,,
M5 MST-DP,186,0.8552,0.9993,0.9257,0.8452,0.8506,0.3915,0.0,0.5796,,
M1 HMA-GC,187,0.8758,1.0,0.9315,0.7283,0.8647,0.3707,0.0,0.0793,,
M2 CTGAN,187,0.842,0.9998,0.8404,0.5515,0.9081,0.3862,0.0178,0.0068,,
M3 PAR,187,0.6341,0.7474,0.7825,0.5354,0.7837,0.2675,0.0,0.0383,,
M4 TVAE,187,0.8662,1.0,0.7876,0.7561,0.8288,0.3932,0.0,0.0342,,
M5 MST-DP,187,0.8546,0.9996,0.9216,0.8358,0.8503,0.3965,0.0,0.5545,,
M1 HMA-GC,188,0.873,0.9993,0.9383,0.7379,0.8626,0.3943,0.0,0.0876,,
M2 CTGAN,188,0.8642,0.9995,0.8391,0.5714,0.9076,0.3899,0.0113,0.0207,,
M3 PAR,188,0.5747,0.737,0.7861,0.5392,0.7808,0.2943,0.0,0.0387,,
M4 TVAE,188,0.8884,0.9997,0.7895,0.7838,0.8237,0.3802,0.0,0.0341,,
M5 MST-DP,188,0.9346,0.9997,0.9197,0.8444,0.8494,0.4034,0.0,0.5742,,
M1 HMA-GC,189,0.8688,0.9999,0.9335,0.7458,0.865,0.3701,0.0,0.0823,,
M2 CTGAN,189,0.8426,0.9993,0.8374,0.5695,0.9092,0.3813,0.0143,0.0071,,
M3 PAR,189,0.571,0.7412,0.782,0.5348,0.7826,0.292,0.0,0.0362,,
M4 TVAE,189,0.8878,1.0,0.8046,0.783,0.8269,0.3764,0.0,0.0257,,
M5 MST-DP,189,0.9223,0.9995,0.9237,0.8199,0.847,0.3842,0.0,0.5688,,
M1 HMA-GC,190,0.8811,1.0,0.9424,0.7388,0.8614,0.3664,0.0,0.0694,,
M2 CTGAN,190,0.8384,1.0,0.837,0.5687,0.9064,0.3936,0.0121,0.0107,,
M3 PAR,190,0.6311,0.7356,0.7849,0.5454,0.7829,0.2934,0.0,0.053,,
M4 TVAE,190,0.8748,0.9997,0.7855,0.7744,0.826,0.4007,0.0,0.0184,,
M5 MST-DP,190,0.8507,0.999,0.9253,0.8439,0.8446,0.3769,0.0,0.5757,,
M1 HMA-GC,191,0.8752,1.0,0.9355,0.7454,0.8638,0.3754,0.0,0.0698,,
M2 CTGAN,191,0.8489,0.9998,0.8377,0.5696,0.9069,0.3873,0.0183,0.0154,,
M3 PAR,191,0.6334,0.7412,0.7764,0.534,0.7843,0.28,0.0,0.0523,,
M4 TVAE,191,0.8787,1.0,0.7977,0.7765,0.8252,0.3873,0.0,0.0198,,
M5 MST-DP,191,0.8539,0.9996,0.9215,0.8186,0.8465,0.3897,0.0,0.5778,,
M1 HMA-GC,192,0.8798,0.9999,0.9385,0.7356,0.864,0.3842,0.0,0.0709,,
M2 CTGAN,192,0.8437,0.9997,0.8411,0.5783,0.9072,0.3874,0.025,0.0113,,
M3 PAR,192,0.6342,0.743,0.7824,0.5689,0.7822,0.2869,0.0,0.0489,,
M4 TVAE,192,0.8762,1.0,0.789,0.7799,0.8253,0.4056,0.0,0.0206,,
M5 MST-DP,192,0.8485,0.9997,0.9254,0.8375,0.8502,0.3869,0.0,0.5603,,
M1 HMA-GC,193,0.8621,1.0,0.9307,0.7287,0.8601,0.3888,0.0,0.0829,,
M2 CTGAN,193,0.841,0.9996,0.8303,0.5558,0.9092,0.3903,0.062,0.0133,,
M3 PAR,193,0.5659,0.7396,0.7739,0.5389,0.7829,0.2676,0.0,0.0334,,
M4 TVAE,193,0.8786,1.0,0.7856,0.7637,0.831,0.3858,0.0,0.0188,,
M5 MST-DP,193,0.9259,0.9998,0.9179,0.8486,0.8433,0.3713,0.0,0.5847,,
M1 HMA-GC,194,0.8673,0.9999,0.9405,0.7309,0.8662,0.3821,0.0,0.0783,,
M2 CTGAN,194,0.8461,0.9996,0.8338,0.566,0.9087,0.3909,0.0153,0.0012,,
M3 PAR,194,0.5627,0.7419,0.785,0.5338,0.7842,0.3204,0.0,0.0296,,
M4 TVAE,194,0.8854,1.0,0.792,0.7883,0.8224,0.3964,0.0,0.0294,,
M5 MST-DP,194,0.9216,0.9996,0.9257,0.8166,0.8474,0.4082,0.0,0.5708,,
M1 HMA-GC,195,0.8759,1.0,0.9417,0.7383,0.866,0.3842,0.0,0.0942,,
M2 CTGAN,195,0.8431,0.9999,0.8377,0.571,0.9065,0.3826,0.2118,0.0201,,
M3 PAR,195,0.623,0.7386,0.7817,0.5591,0.783,0.2909,0.0,0.0723,,
M4 TVAE,195,0.8777,1.0,0.7873,0.7812,0.8182,0.4078,0.0,0.0351,,
M5 MST-DP,195,0.8505,0.9997,0.924,0.8393,0.8435,0.3874,0.0,0.5606,,
M1 HMA-GC,196,0.8801,1.0,0.9378,0.749,0.8622,0.3936,0.0,0.0947,,
M2 CTGAN,196,0.8397,0.999,0.8434,0.5688,0.9074,0.3824,0.0581,0.0179,,
M3 PAR,196,0.6276,0.7252,0.7817,0.5641,0.7835,0.305,0.0,0.038,,
M4 TVAE,196,0.88,0.9996,0.7927,0.7807,0.8249,0.3917,0.0,0.034,,
M5 MST-DP,196,0.8433,0.9992,0.9226,0.8094,0.8508,0.3857,0.0,0.5919,,
M1 HMA-GC,197,0.8868,0.9999,0.9448,0.7287,0.8656,0.3975,0.0,0.0835,,
M2 CTGAN,197,0.8364,0.9999,0.8339,0.5582,0.9038,0.3945,0.0054,0.0064,,
M3 PAR,197,0.6326,0.7435,0.782,0.5539,0.7817,0.3083,0.0,0.0241,,
M4 TVAE,197,0.8807,1.0,0.7927,0.78,0.8234,0.3823,0.0,0.0301,,
M5 MST-DP,197,0.8477,0.9996,0.9237,0.84,0.8434,0.3893,0.0,0.5789,,
M1 HMA-GC,198,0.876,0.9999,0.9379,0.7236,0.8668,0.3998,0.0,0.0819,,
M2 CTGAN,198,0.852,0.9993,0.8396,0.5541,0.9082,0.39,0.0053,0.0038,,
M3 PAR,198,0.6421,0.7423,0.7862,0.5451,0.7824,0.307,0.0,0.0555,,
M4 TVAE,198,0.867,0.9999,0.7924,0.7788,0.8238,0.4035,0.0,0.0266,,
M5 MST-DP,198,0.857,0.9996,0.9247,0.8511,0.8427,0.3898,0.0,0.5731,,
M1 HMA-GC,199,0.8824,1.0,0.941,0.7439,0.8655,0.3829,0.0,0.0716,,
M2 CTGAN,199,0.8465,0.9993,0.834,0.5792,0.9065,0.3972,0.0374,0.0019,,
M3 PAR,199,0.6348,0.7373,0.778,0.5429,0.7824,0.3261,0.0,0.0276,,
M4 TVAE,199,0.8813,0.9998,0.7878,0.7846,0.8282,0.4032,0.0,0.02,,
M5 MST-DP,199,0.8484,0.9996,0.925,0.8359,0.843,0.3915,0.0,0.564,,
